code;qty;costo;descuento
10050018;1;;0
10050019;272;;0
10050020;2194;;0
10050039;863;;0
10050023;0;;0
10050025;171;;0
10050026;147;;0
10050029;0;;0
10050030;275;;0
10050032;540;;0
10050033;60;;0
10050034;115;;0
10050041;497;;0
10050044;0;;0
10050049;0;;0
10050052;0;;0
10050053;0;;0
10050055;1274;;0
10050062;926;;0
10050067;5;;0
10050069;5;;0
10050071;0;;0
10050072;0;;0
10050073;0;;0
10050074;0;;0
10050075;0;;0
10050076;0;;0
10050077;0;;0
10050078;0;;0
10050081;35;;0
10050082;0;;0
10050084;0;;0
10050086;0;;0
10050090;13;;0
10050091;24;;0
10050092;16;;0
1010001;0;;0
1010003;48;;0
1010004;0;;0
1010009;28;;0
1010010;25;;0
1010012;0;;0
1010014;4;;0
1010015;0;;0
1010019;7;;0
1010026;0;;0
1010027;20;;0
1010028;9;;0
1010029;9;;0
1010030;4;;0
1010031;15;;0
1010032;0;;0
1010044;0;;0
1010047;0;;0
1010048;1;;0
1010051;0;;0
1010052;0;;0
1010055;24;;0
1010056;51;;0
1010057;0;;0
1010063;9;;0
1010068;0;;0
1010069;0;;0
1010081;0;;0
1010082;1;;0
1010086;7;;0
1010094;7;;0
1010096;13;;0
1010097;15;;0
1010098;21;;0
1010103;100;;0
1010106;9;;0
1010110;0;;0
1010111;0;;0
1010112;7;;0
1010116;21;;0
1010117;12;;0
1010120;40;;0
1010121;47;;0
1010122;31;;0
1010131;0;;0
1010133;13;;0
1010135;44;;0
1010137;15;;0
1010142;0;;0
1010146;10;;0
1010147;0;;0
1010148;0;;0
1010150;0;;0
1010151;10;;0
1010152;18;;0
1010153;49;;0
1010154;17;;0
1010155;14;;0
1010156;30;;0
1010158;33;;0
1010161;0;;0
1010176;5;;0
1010177;0;;0
1010178;2;;0
1010186;6;;0
1010191;0;;0
1010196;0;;0
1010197;12;;0
1010198;6;;0
1010209;0;;0
1010211;0;;0
1010212;6;;0
1010213;7;;0
1010214;3;;0
1010215;4;;0
1010216;17;;0
1010217;0;;0
1010218;0;;0
1010223;0;;0
1010224;0;;0
1010225;8;;0
1010227;7;;0
1010229;34;;0
1010230;48;;0
1010231;7;;0
1010232;0;;0
1010242;0;;0
1010246;0;;0
1010249;11;;0
1010251;48;;0
1010255;20;;0
1010256;0;;0
1010257;61;;0
1010262;2;;0
1010263;0;;0
1010264;5;;0
1010273;0;;0
1010274;0;;0
1010279;0;;0
1010281;3;;0
1010282;0;;0
1010286;0;;0
1010294;0;;0
1010299;2;;0
